id,id_bbg,sector,bics_level_1_sector_name,bics_level_2_industry_group_name,bics_level_3_industry_name,bics_level_4_sub_industry_name,gics_sector_name,gics_industry_group_name,gics_industry_name,gics_sub_industry_name,FBM100,name
6007919,GBAY MK Equity,,Materials,Materials,Containers & Packaging,Containers & Packaging,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,False,Greater Bay Holdings Bhd
6009454,ABANK MK Equity,Banks,Financials,Banking,Banking,Banks,Financials,Banks,Banks,Diversified Banks,True,AFFIN Bank Bhd
6010973,AJI MK Equity,Consumer Staples,Consumer Staples,Consumer Staple Products,Food,Packaged Food,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,False,Ajinomoto Malaysia Bhd
6013002,AJY MK Equity,Industrial,Industrials,Industrial Products,Industrial Intermediate Prod,Fabricated Metal & Hardware,Industrials,Capital Goods,Building Products,Building Products,False,Ajiya BHD
6013671,KOBAY MK Equity,EMS,Industrials,Industrial Products,Machinery,Metalworking Machinery,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplies & Components,False,Kobay Technology BHD
6016829,YLI MK Equity,,Industrials,Industrial Products,Industrial Intermediate Prod,Fabricated Metal & Hardware,Industrials,Capital Goods,Building Products,Building Products,False,YLI Holding BHD
6017123,ASTEEL MK Equity,,Materials,Materials,Steel,Steel Producers,Materials,Materials,Metals & Mining,Steel,False,ASTEEL Group Bhd
6017327,MCE MK Equity,,Consumer Discretionary,Consumer Discretionary Products,Automotive,Auto Parts,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,False,MCE Holdings Bhd
6017424,ARK MK Equity,,Consumer Discretionary,Consumer Discretionary Products,Home Construction,Homebuilding,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,False,Ark Resources Holdings Bhd
6018375,CHR MK Equity,,Materials,Materials,Steel,Metal Svc Centers & Processors,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors,False,Chuan Huat Resources BHD
6019312,PTT MK Equity,,Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Home Products Stores,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors,False,PTT Synergy Group Bhd
6021953,ALC MK Equity,Materials & Metals,Materials,Materials,Metals & Mining,Base Metals,Materials,Materials,Metals & Mining,Aluminum,False,Alcom Group Bhd
6024565,PARKWD MK Equity,,Materials,Materials,Steel,Steel Producers,Real Estate,Real Estate Management & Development,Real Estate Management & Development,Real Estate Development,False,Parkwood Holdings BHD
6024996,AMW MK Equity,Consumer Discretionary,Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Catalog & TV Based Retailers,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Other Specialty Retail,False,Amway Malaysia Holdings Bhd
6028471,YGCB MK Equity,Real Estate Development,Industrials,Industrial Services,Engineering & Construction,Building Construction,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,False,Y&G Corp Bhd
6030409,PKS MK Equity,Consumer Discretionary,Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Department Stores,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Broadline Retail,Broadline Retail,False,Parkson Holdings Bhd
6031758,ANCOMNY MK Equity,Materials & Metals,Materials,Materials,Chemicals,Basic & Diversified Chemicals,Materials,Materials,Chemicals,Diversified Chemicals,False,Ancom Nylex Bhd
6034155,AHBH MK Equity,,Consumer Discretionary,Consumer Discretionary Products,Home & Office Products,Furniture,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Office Services & Supplies,False,AHB Holdings Bhd
6036322,PSD MK Equity,Real Estate Development,Real Estate,Real Estate,Real Estate Owners & Developers,Multi Asset Class Own & Develop,Real Estate,Real Estate Management & Development,Real Estate Management & Development,Real Estate Development,False,Pasdec Holdings Bhd
6038210,ALN MK Equity,Consumer Discretionary,Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Other Spec Retail - Discr,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Other Specialty Retail,False,Atlan Holdings Bhd
6039514,KUBM MK Equity,Oil & Gas,Financials,Financial Services,Asset Management,Investment Companies,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,False,KUB Malaysia BHD
6040947,KOMA MK Equity,,Materials,Materials,Containers & Packaging,Containers & Packaging,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Office Services & Supplies,False,Komarkcorp Bhd
6041940,WHB MK Equity,,Consumer Discretionary,Consumer Discretionary Products,Home Construction,Building Products,Industrials,Capital Goods,Building Products,Building Products,False,Woodlandor Holdings Bhd
6044370,AJR MK Equity,Materials & Metals,Materials,Materials,Steel,Steel Producers,Materials,Materials,Metals & Mining,Steel,False,Ann Joo Resources Bhd
6045179,PRK MK Equity,,Industrials,Industrial Services,Transportation & Logistics,Transport Operations & Services,Industrials,Transportation,Transportation Infrastructure,Marine Ports & Services,False,Perak Corp BHD
6045470,APOF MK Equity,Consumer Staples,Consumer Staples,Consumer Staple Products,Food,Packaged Food,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,False,Apollo Food Holdings Bhd
6045942,APX MK Equity,Financial,Financials,Financial Services,Institutional Financial Svcs,Institutional Brokerage,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage,False,Apex Equity Holdings Bhd
6047023,AMM MK Equity,Banks,Financials,Banking,Banking,Banks,Financials,Banks,Banks,Diversified Banks,True,AMMB Holdings Bhd
6047465,AF MK Equity,Consumer Services,Consumer Discretionary,Consumer Discretionary Products,Home & Office Products,Office Supplies,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Office Services & Supplies,False,Asia File Corp BHD
6053990,CME MK Equity,,Industrials,Industrial Products,Electrical Equipment,Comml & Res Bldg Equip & Sys,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Transportation Equipment,False,CME Group BHD
6057680,GENP MK Equity,Plantation ,Consumer Staples,Consumer Staple Products,Food,Agricultural Producers,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Services,False,Genting Plantations Bhd
6069061,AYER MK Equity,Real Estate Development,Real Estate,Real Estate,Real Estate Owners & Developers,Residential Owners & Developers,Real Estate,Real Estate Management & Development,Real Estate Management & Development,Real Estate Development,False,Ayer Holdings Bhd
6073813,FHB MK Equity,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Products,Home & Office Products,Household Appliances,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Distributors,Distributors,False,Fiamma Holdings BHD
6073835,MPG MK Equity,,Materials,Materials,Containers & Packaging,Containers & Packaging,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,False,Master-Pack Group BHD
6075745,CIMB MK Equity,Banks,Financials,Banking,Banking,Banks,Financials,Banks,Banks,Diversified Banks,True,CIMB Group Holdings Bhd
6081593,SES MK Equity,,Industrials,Industrial Services,Transportation & Logistics,Transport Operations & Services,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,False,Scomi Energy Services Bhd
6081731,ZEC MK Equity,,Industrials,Industrial Services,Engineering & Construction,Building Construction,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,False,Zecon Bhd
6083748,FCW MK Equity,Consumer Discretionary,Industrials,Industrial Products,Electrical Equipment,Electrical Components,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Distributors,Distributors,False,FCW Holdings BHD
6084086,AMT MK Equity,,Technology,Software & Tech Services,Software,Application Software,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Technology Distributors,False,Amtel Holdings Bhd
6084622,BAK MK Equity,Plantation ,Materials,Materials,Chemicals,Specialty Chemicals,Materials,Materials,Chemicals,Commodity Chemicals,False,Batu Kawan Bhd
6084707,ASB MK Equity,Industrial,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Travel Services,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,False,Advance Synergy Bhd
6085380,BORNO MK Equity,,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Restaurants,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,False,Borneo Oil Bhd
6086190,BKC MK Equity,,Industrials,Industrial Services,Engineering & Construction,Engineering Services,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,False,Bintai Kinden Corp Bhd
6086231,CCK MK Equity,Consumer Staples,Consumer Staples,Retail & Wholesale - Staples,Wholesale - Consumer Staples,Food & Beverage Wholesalers,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,False,CCK Consolidated Holdings BHD
6086242,CDB MK Equity,Telecommunication,Communications,Telecommunications,Telecommunications,Wireless Telecommunications,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,True,CELCOMDIGI BHD
6086509,BCB MK Equity,Real Estate Development,Real Estate,Real Estate,Real Estate Owners & Developers,Multi Asset Class Own & Develop,Real Estate,Real Estate Management & Development,Real Estate Management & Development,Real Estate Development,False,BCB Bhd
6087375,TGI MK Equity,Materials & Metals,Materials,Materials,Containers & Packaging,Containers & Packaging,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,False,Thong Guan Industries Bhd
6089360,GUOL MK Equity,Real Estate Development,Real Estate,Real Estate,Real Estate Owners & Developers,Office Owners & Developers,Real Estate,Real Estate Management & Development,Real Estate Management & Development,Diversified Real Estate Activities,False,GuocoLand Malaysia Bhd
6091462,YTB MK Equity,Real Estate Development,Real Estate,Real Estate,Real Estate Owners & Developers,Multi Asset Class Own & Develop,Real Estate,Real Estate Management & Development,Real Estate Management & Development,Real Estate Development,False,Yong Tai Bhd
6092391,PPB MK Equity,,Consumer Staples,Consumer Staple Products,Food,Agricultural Producers,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Services,False,Pinehill Pacific Bhd
6092904,SHC MK Equity,,Industrials,Industrial Services,Transportation & Logistics,Logistics Services,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics,False,See Hup Consolidated Bhd
6093167,PAD MK Equity,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Products,Apparel & Textile Products,"Apparel, Footwear & Acc Design",Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Apparel Retail,True,Padini Holdings Bhd
6095969,FBC MK Equity,Construction,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,False,Fajarbaru Builder Group Bhd
6096166,H&L MK Equity,,Industrials,Industrial Products,Machinery,Metalworking Machinery,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplies & Components,False,Kumpulan H&L High-Tech Bhd
6100324,BIG MK Equity,,Materials,Materials,Chemicals,Basic & Diversified Chemicals,Materials,Materials,Construction Materials,Construction Materials,False,BIG Industries Bhd
6100379,BIMB MK Equity,Banks,Financials,Banking,Banking,Banks,Financials,Banks,Banks,Diversified Banks,False,Bank Islam Malaysia Bhd
6100517,BIN MK Equity,,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,False,Bina Puri Holdings BHD
6100562,DRLM MK Equity,,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,False,Bina Darulaman Bhd
6100863,HUME MK Equity,Construction,Materials,Materials,Construction Materials,Cement & Aggregates,Materials,Materials,Construction Materials,Construction Materials,False,Hume Cement Industries Bhd
6106195,AAB MK Equity,,Consumer Staples,Consumer Staple Products,Food,Agricultural Producers,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Services,False,Astral Asia Bhd
6108317,PLB MK Equity,,Real Estate,Real Estate,Real Estate Owners & Developers,Multi Asset Class Own & Develop,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,False,PLB Engineering Bhd
6110668,SYML MK Equity,Real Estate Development,Real Estate,Real Estate,Real Estate Owners & Developers,Residential Owners & Developers,Real Estate,Real Estate Management & Development,Real Estate Management & Development,Real Estate Development,False,Symphony Life Bhd
